 12/12/2017 07:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 12/12/2017 08:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 12/12/2017 09:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 12/12/2017 10:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 12/12/2017 11:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 12/12/2017 12:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 12/12/2017 01:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 12/12/2017 02:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 12/12/2017 03:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 12/12/2017 04:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 12/12/2017 05:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 12/12/2017 06:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 12/12/2017 07:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 12/12/2017 08:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 12/12/2017 09:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 12/12/2017 10:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 12/12/2017 11:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 13/12/2017 12:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 13/12/2017 01:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 13/12/2017 02:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 13/12/2017 03:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 13/12/2017 04:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 13/12/2017 05:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 13/12/2017 06:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 13/12/2017 07:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 13/12/2017 08:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 13/12/2017 09:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 13/12/2017 10:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 13/12/2017 11:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 13/12/2017 12:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 13/12/2017 01:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 13/12/2017 02:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 13/12/2017 03:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 13/12/2017 04:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 13/12/2017 05:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 13/12/2017 06:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 13/12/2017 07:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 13/12/2017 08:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 13/12/2017 09:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 13/12/2017 10:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 13/12/2017 11:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 14/12/2017 12:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 14/12/2017 01:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 14/12/2017 02:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 14/12/2017 03:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 14/12/2017 04:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 14/12/2017 05:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 14/12/2017 06:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 14/12/2017 07:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 14/12/2017 08:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 14/12/2017 09:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 14/12/2017 10:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 14/12/2017 11:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 14/12/2017 12:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 14/12/2017 01:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 14/12/2017 02:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 14/12/2017 03:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 14/12/2017 04:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 14/12/2017 05:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 14/12/2017 06:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 14/12/2017 07:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 14/12/2017 08:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 14/12/2017 09:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 14/12/2017 10:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 14/12/2017 11:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 15/12/2017 12:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 15/12/2017 01:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 15/12/2017 02:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 15/12/2017 03:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 15/12/2017 04:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 15/12/2017 05:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 15/12/2017 06:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 15/12/2017 07:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 15/12/2017 08:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 15/12/2017 09:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 15/12/2017 10:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 15/12/2017 11:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 0 
 15/12/2017 12:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 25 
 15/12/2017 01:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 26 
 15/12/2017 02:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 27.4 
 15/12/2017 03:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 24.7 
 15/12/2017 04:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 24.3 
 15/12/2017 05:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 25.1 
 15/12/2017 06:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 24.1 
 15/12/2017 07:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 23.4 
 15/12/2017 08:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 23.5 
 15/12/2017 09:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 23.2 
 15/12/2017 10:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 23.2 
 15/12/2017 11:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 23 
