01/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
01/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
01/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
01/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
01/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
01/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
01/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
01/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
01/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
01/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
01/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
01/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
01/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
02/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
02/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
02/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
02/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
02/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
02/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
02/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
02/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
02/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
02/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
02/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
02/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
02/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
02/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
02/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
02/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
02/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
02/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
02/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
02/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
02/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
02/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
02/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
02/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
03/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
03/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
03/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
03/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
03/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
03/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
03/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
03/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
03/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
03/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
03/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
03/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
03/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
03/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
03/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
03/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
03/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
03/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
03/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
03/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
03/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
03/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
03/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
03/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
04/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
04/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
04/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
04/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
04/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
04/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
04/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
04/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
04/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
04/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
04/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
04/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
04/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
04/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
04/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
04/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
04/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
04/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
04/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
04/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
04/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
04/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
04/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
04/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
05/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
05/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
05/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
05/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
05/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
05/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
05/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
05/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
05/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
05/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
05/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
05/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
05/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
05/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
05/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
05/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
